"","X","Site","Year","ID","Attempt","Nest_Fate","age","Date_Incubation","Date_Failure","Comments","unique_ID","tph","gc","cc","maxveg","avgveg","voveg","Died_Nesting","Nest_Random","site"
"77",77,"CC","2022","9533",1,"1",1,"4/20/2022","5/18/2022","","9533 1 1",5,97,68.4,200,85,115,"N",1,"CC"
"78",78,"SRS","2022","10241",1,"0",1,"4/13/2022","4/17/2022","","10241 1 0",18,100,58.6,192.5,97.5,90,"N",1,"SRS"
"79",79,"SRS","2022","10241",2,"0",1,"5/16/2022","5/25/2022","","10241 2 0",10,96,63.4,172.5,135,82.5,"N",1,"SRS"
"80",80,"SRS","2022","10242",1,"0",1,NA,"4/13/2022","","10242 1 0",13,100,73.8,187.5,85,110,"N",1,"SRS"
"81",81,"SRS","2022","10242",2,"1",1,"4/30/2022","5/25/2022","","10242 2 1",0,94,52.6,200,167.5,165,"N",1,"SRS"
"82",82,"SRS","2022","10245",1,"0",1,"4/13/2022","5/4/2022","","10245 1 0",NA,97,77,200,150,125,"N",1,"SRS"
"83",83,"SRS","2022","10248",1,"0",1,"4/29/2022","5/3/2022","","10248 1 0",12,97,56,195,165,157.5,"N",1,"SRS"
"84",84,"SRS","2022","10248",2,"1",1,"5/25/2022","6/20/2022","","10248 2 1",13,98,82.4,200,130,100,"N",1,"SRS"
"85",85,"SRS","2022","10250",1,"0",1,"4/12/2022","4/20/2022","","10250 1 0",9,87,50.6,200,190,192.5,"N",1,"SRS"
"86",86,"SRS","2022","10250",2,"0",1,"5/9/2022","5/15/2022","","10250 2 0",6,98,67,145,92.5,55,"N",1,"SRS"
"87",87,"SRS","2022","10250",3,"0",1,"6/7/2022","7/3/2022","","10250 3 0",10,99,90,200,165,137.5,"N",1,"SRS"
"88",88,"SRS","2022","10259",1,"1",1,"4/15/2022","5/10/2022","","10259 1 1",29,98,58,192.5,60,50,"N",1,"SRS"
"89",89,"SRS","2022","10261",1,"0",0,NA,"4/30/2022","","10261 1 0",0,96,71.2,200,200,200,"N",1,"SRS"
"90",90,"SRS","2022","10264",1,"0",1,"4/16/2022","4/17/2022","","10264 1 0",NA,88,84,200,115,27.5,"N",1,"SRS"
"91",91,"SRS","2022","10265",1,"0",0,"4/25/2022","5/11/2022","","10265 1 0",9,100,78.4,200,190,147.5,"N",1,"SRS"
"92",92,"SRS","2022","10265",2,"0",0,"6/8/2022","6/16/2022","","10265 2 0",0,99,0,185,145,95,"N",1,"SRS"
"93",93,"BFG","2022","10270",1,"0",1,"6/11/2022","6/16/2022","","10270 1 0",1,94,21.6,190,62.5,72.5,"N",1,"BFG"
"94",94,"SRS","2022","10271",1,"0",1,"4/9/2022","5/6/2022","","10271 1 0",24,95,72.4,197.5,130,135,"N",1,"SRS"
"95",95,"SRS","2022","10272",1,"1",0,"4/19/2022","5/15/2022","","10272 1 1",31,99,69.6,182.5,107.5,67.5,"N",1,"SRS"
"96",96,"CC","2022","10273",1,"0",1,"5/12/2022","5/20/2022","","10273 1 0",5,99,39.4,195,70,75,"N",1,"CC"
"97",97,"SRS","2022","10275",1,"0",1,"4/24/2022","4/24/2022","","10275 1 0",0,94,32.4,187.5,130,117.5,"N",1,"SRS"
"98",98,"SRS","2022","10275",2,"0",1,"5/13/2022","5/13/2022","","10275 2 0",0,80,33.8,200,115,65,"N",1,"SRS"
"99",99,"SRS","2022","10276",1,"0",0,"5/6/2022","5/12/2022","","10276 1 0",0,98,29.6,175,117.5,72.5,"N",1,"SRS"
"100",100,"SRS","2022","10277",1,"1",1,"4/16/2022","5/13/2022","","10277 1 1",0,78,0,190,115,130,"N",1,"SRS"
"101",101,"CC","2022","10278",1,"0",1,"5/8/2022","5/15/2022","","10278 1 0",11,86,45.6,190,70,87.5,"Y",1,"CC"
"102",102,"CC","2022","10278",2,"0",1,"6/6/2022","6/8/2022","","10278 2 0",13,100,78.6,197.5,35,15,"Y",1,"CC"
"103",103,"CC","2022","10279",1,"0",1,"4/12/2022","4/18/2022","","10279 1 0",20,100,83.6,172.5,107.5,15,"N",1,"CC"
"104",104,"CC","2022","10279",2,"0",1,"5/7/2022","6/5/2022","","10279 2 0",28,95,68.6,200,70,37.5,"N",1,"CC"
"105",105,"CC","2022","10280",2,"1",0,"6/3/2022","6/30/2022","","10280 2 1",5,95,52.2,190,100,87.5,"N",1,"CC"
"106",106,"CC","2022","10280",1,"0",0,"4/21/2022","5/7/2022","","10280 1 0",12,99,80.6,200,92.5,45,"N",1,"CC"
"107",107,"SRS","2022","10281",1,"0",1,NA,"4/22/2022","","10281 1 0",0,95,8.8,192.5,107.5,135,"N",1,"SRS"
"108",108,"SRS","2022","10281",2,"0",1,"5/31/2022","6/2/2022","","10281 2 0",0,100,0.4,190,180,157.5,"N",1,"SRS"
"109",109,"SRS","2022","10282",1,"1",1,"4/23/2022","5/19/2022","","10282 1 1",8,90,87.6,175,90,75,"N",1,"SRS"
"110",110,"SRS","2022","10283",1,"0",1,"4/24/2022","5/4/2022","","10283 1 0",6,96,95.2,200,177.5,37.5,"N",1,"SRS"
"111",111,"SRS","2022","10283",2,"0",1,"5/26/2022","5/28/2022","","10283 2 0",0,76,20.8,152.5,120,115,"N",1,"SRS"
"112",112,"SRS","2022","10284",1,"0",1,"4/25/2022","5/14/2022","","10284 1 0",24,100,95.2,200,132.5,55,"N",1,"SRS"
"113",113,"SRS","2022","10289",1,"1",1,"4/26/2022","5/22/2022","","10289 1 1",31,100,81.2,165,70,57.5,"N",1,"SRS"
"114",114,"SRS","2022","10290",1,"1",1,"4/20/2022","5/16/2022","","10290 1 1",26,100,86.2,182.5,167.5,150,"N",1,"SRS"
"115",115,"BFG","2022","10291",1,"1",1,"4/23/2022","5/20/2022","","10291 1 1",8,100,80.8,22.5,20,17.5,"N",1,"BFG"
"116",116,"CC","2022","10292",1,"0",1,"5/12/2022","5/16/2022","","10292 1 0",26,99,54.8,125,40,25,"N",1,"CC"
"117",117,"CC","2022","10292",2,"0",1,"6/14/2022","7/7/2022","","10292 2 0",24,98,50,127.5,32.5,40,"N",1,"CC"
"118",118,"BFG","2022","10293",1,"0",1,"4/12/2022","4/14/2022","","10293 1 0",0,100,0,0,0,0,"N",1,"BFG"
"119",119,"BFG","2022","10293",2,"0",1,"5/18/2022","6/2/2022","","10293 2 0",0,87,17.6,195,102.5,127.5,"N",1,"BFG"
"120",120,"SRS","2022","10295",1,"0",0,"5/14/2022","5/22/2022","","10295 1 0",4,100,69.2,150,110,65,"N",1,"SRS"
"121",121,"CC","2022","10296",1,"0",1,"4/23/2022","5/7/2022","","10296 1 0",6,NA,42.8,150,65,100,"N",1,"CC"
"122",122,"BFG","2022","10297",1,"1",1,"4/19/2022","5/16/2022","","10297 1 1",0,NA,9.2,200,122.5,95,"N",1,"BFG"
"123",123,"SRS","2022","10300",1,"0",1,"4/30/2022","5/5/2022","","10300 1 0",17,100,76,190,182.5,115,"N",1,"SRS"
"124",124,"SRS","2022","10300",2,"1",1,"6/4/2022","6/28/2022","","10300 2 1",9,100,65.2,172.5,115,80,"N",1,"SRS"
"125",125,"BFG","2022","10304",1,"0",1,"4/12/2022","4/30/2022","","10304 1 0",16,98,89.4,200,182.5,47.5,"N",1,"BFG"
"126",126,"WLA","2017","46033",1,"0",1,"4/3/2017","4/8/2017","","46033 1 0",10,100,38.4,200,127.5,125,"Y",1,"WLA"
"127",127,"WLA","2017","46034",1,"0",0,"4/15/2017","4/21/2017","","46034 1 0",9,98,35.8,200,70,67.5,"N",1,"WLA"
"128",128,"WLA","2017","46035",1,"0",1,"4/26/2017","4/30/2017","","46035 1 0",16,98,54.6,197.5,122.5,102.5,"N",1,"WLA"
"129",129,"WLA","2017","46036",1,"1",1,"4/19/2017","5/16/2017","","46036 1 1",29,100,94.8,187.5,60,35,"N",1,"WLA"
"130",130,"WLA","2017","46037",1,"0",1,"4/26/2017","5/18/2017","","46037 1 0",6,88,27.6,200,195,195,"N",1,"WLA"
"131",131,"WLA","2017","46038",1,"0",1,"4/6/2017","4/20/2017","","46038 1 0",34,100,93.2,200,42.5,37.5,"N",1,"WLA"
"132",132,"WLA","2017","46038",2,"0",1,"5/12/2017","5/16/2017","","46038 2 0",0,94,21.6,0,157.5,157.5,"N",1,"WLA"
"133",133,"WLA","2017","46039",1,"0",1,"4/16/2017","4/18/2017","","46039 1 0",10,100,88.8,197.5,75,72.5,"N",1,"WLA"
"134",134,"WLA","2017","46039",2,"0",1,"5/18/2017","6/7/2017","","46039 2 0",11,97,31.2,162.5,127.5,122.5,"N",1,"WLA"
"135",135,"WLA","2017","46040",1,"0",1,"4/4/2017","4/18/2017","","46040 1 0",15,84,77,170,120,95,"N",1,"WLA"
"136",136,"WLA","2017","46040",2,"0",1,"5/12/2017","5/16/2017","","46040 2 0",6,100,53.4,200,117.5,117.5,"N",1,"WLA"
"137",137,"WLA","2017","46041",1,"0",0,"4/3/2017","4/10/2017","","46041 1 0",16,100,54.4,200,167.5,157.5,"N",1,"WLA"
"138",138,"WLA","2017","46041",2,"0",0,"4/28/2017","5/1/2017","","46041 2 0",14,100,51,200,140,140,"N",1,"WLA"
"139",139,"WLA","2017","46045",2,"1",1,"5/20/2017","6/14/2017","","46045 2 1",16,99,47.8,147.5,107.5,85,"N",1,"WLA"
"140",140,"WLA","2017","46045",1,"0",1,"4/7/2017","4/21/2017","","46045 1 0",21,100,91.6,192.5,90,52.5,"N",1,"WLA"
"141",141,"WLA","2017","46046",1,"0",1,"5/17/2017","5/25/2017","","46046 1 0",25,14,90.4,200,190,187.5,"N",1,"WLA"
"142",142,"WLA","2017","46047",1,"0",1,"4/9/2017","4/16/2017","","46047 1 0",0,87,19.4,200,152.5,147.5,"N",1,"WLA"
"143",143,"WLA","2017","46047",2,"0",1,"5/7/2017","5/16/2017","","46047 2 0",11,100,61.6,200,135,132.5,"N",1,"WLA"
"144",144,"WLA","2017","46048",1,"1",1,"4/14/2017","5/11/2017","","46048 1 1",4,63,39.4,200,160,142.5,"N",1,"WLA"
"145",145,"WLA","2017","46049",1,"0",1,"4/4/2017","4/13/2017","","46049 1 0",9,85,29,200,180,170,"N",1,"WLA"
"146",146,"WLA","2017","46050",1,"0",1,"4/8/2017","5/4/2017","","46050 1 0",10,91,71.6,200,107.5,127.5,"N",1,"WLA"
"147",147,"WLA","2017","46050",2,"0",1,"6/27/2017","7/5/2017","","46050 2 0",10,92,80,200,142.5,130,"N",1,"WLA"
"148",148,"WLA","2017","46051",1,"0",1,"4/27/2017","5/17/2017","","46051 1 0",8,100,61.4,197.5,195,195,"N",1,"WLA"
"149",149,"WLA","2017","46053",1,"0",1,"4/8/2017","4/20/2017","","46053 1 0",2,100,5.6,200,100,95,"N",1,"WLA"
"150",150,"WLA","2017","46053",2,"0",1,"5/16/2017","6/12/2017","","46053 2 0",13,100,90,200,197.5,197.5,"N",1,"WLA"
"151",151,"WLA","2017","46054",1,"1",1,"4/2/2017","4/29/2017","","46054 1 1",9,100,45.2,200,122.5,112.5,"N",1,"WLA"
"152",152,"WLA","2017","46055",1,"1",1,"3/24/2017","4/22/2017","","46055 1 1",4,97,49.8,200,110,100,"N",1,"WLA"
"153",153,"WLA","2017","46057",1,"0",1,"3/28/2017","4/14/2017","","46057 1 0",0,80,0,200,75,72.5,"Y",1,"WLA"
"154",154,"WLA","2017","46058",1,"0",1,"4/16/2017","4/19/2017","","46058 1 0",6,98,47.2,200,182.5,157.5,"N",1,"WLA"
"155",155,"WLA","2017","46060",1,"0",1,"4/10/2017","4/16/2017","","46060 1 0",0,19,6.8,192.5,107.5,55,"N",1,"WLA"
"156",156,"WLA","2017","46060",2,"0",1,"5/3/2017","5/8/2017","","46060 2 0",7,94,48.6,182.5,160,125,"N",1,"WLA"
"157",157,"WLA","2017","46060",3,"0",1,"6/1/2017","6/12/2017","","46060 3 0",9,57,71.6,155,65,65,"N",1,"WLA"
"158",158,"WLA","2017","46062",1,"0",1,"4/20/2017","5/17/2017","","46062 1 0",NA,NA,NA,NA,NA,NA,"N",1,"WLA"
"159",159,"WLA","2017","46062",2,"0",1,"6/16/2017","7/3/2017","","46062 2 0",4,84,41.2,132.5,105,105,"N",1,"WLA"
"160",160,"WLA","2017","46063",1,"0",1,"4/12/2017","4/16/2017","","46063 1 0",9,89,48.8,200,162.5,140,"N",1,"WLA"
"161",161,"WLA","2017","46063",2,"0",1,"5/10/2017","6/4/2017","","46063 2 0",9,98,50.8,180,122.5,117.5,"N",1,"WLA"
"162",162,"WLA","2017","46064",1,"0",1,"5/1/2017","5/5/2017","","46064 1 0",6,88,43.2,200,127.5,92.5,"N",1,"WLA"
"163",163,"WLA","2017","46067",1,"0",1,"4/27/2017","4/28/2017","","46067 1 0",14,100,72.4,197.5,37.5,35,"N",1,"WLA"
"164",164,"WLA","2017","46067",2,"0",1,"5/23/2017","5/23/2017","","46067 2 0",12,75,28,192.5,152.5,152.5,"N",1,"WLA"
"165",165,"WLA","2017","46067",3,"0",1,"6/7/2017","6/18/2017","","46067 3 0",39,91,91.2,197.5,122.5,87.5,"N",1,"WLA"
"166",166,"WLA","2017","46068",1,"0",1,"5/6/2017","5/19/2017","","46068 1 0",0,82,7.8,190,162.5,152.5,"N",1,"WLA"
"167",167,"WLA","2017","46068",2,"0",1,"6/15/2017","6/18/2017","","46068 2 0",26,100,88.4,200,167.5,142.5,"N",1,"WLA"
"168",168,"WLA","2017","46069",1,"0",1,"4/25/2017","5/3/2017","","46069 1 0",11,96,66.6,200,177.5,165,"N",1,"WLA"
"169",169,"WLA","2017","46070",2,"1",1,"5/8/2017","6/4/2017","","46070 2 1",14,100,86.8,200,160,157.5,"N",1,"WLA"
"170",170,"WLA","2017","46070",1,"0",1,"4/7/2017","4/16/2017","","46070 1 0",0,98,30.4,200,125,155,"N",1,"WLA"
"171",171,"WLA","2017","46073",1,"0",1,"4/10/2017","5/2/2017","","46073 1 0",16,98,92.4,190,145,140,"N",1,"WLA"
"172",172,"WLA","2017","46074",1,"0",1,"4/30/2017","5/14/2017","","46074 1 0",3,91,31.6,197.5,160,145,"N",1,"WLA"
"173",173,"WLA","2017","46077",1,"0",1,"4/12/2017","4/18/2017","","46077 1 0",0,100,0.4,200,92.5,92.5,"N",1,"WLA"
"174",174,"WLA","2017","46079",1,"0",1,"5/9/2017","5/17/2017","","46079 1 0",31,97,82.4,200,127.5,112.5,"N",1,"WLA"
"175",175,"WLA","2017","46082",1,"0",1,"5/8/2017","5/28/2017","","46082 1 0",13,96,44,185,145,142.5,"N",1,"WLA"
"176",176,"WLA","2017","46083",1,"0",1,"5/3/2017","5/3/2017","","46083 1 0",21,100,88.8,200,200,200,"N",1,"WLA"
"177",177,"WLA","2017","46086",1,"0",1,"5/25/2017","5/30/2017","","46086 1 0",23,100,50.6,200,150,122.5,"N",1,"WLA"
"178",178,"WLA","2017","46087",1,"0",1,"5/2/2017","5/5/2017","","46087 1 0",12,99,70,200,197.5,197.5,"N",1,"WLA"
"179",179,"WLA","2017","46088",1,"0",1,"4/19/2017","5/12/2017","","46088 1 0",22,100,65.6,200,150,147.5,"N",1,"WLA"
"180",180,"WLA","2017","46088",2,"0",1,"6/18/2017","7/14/2017","","46088 2 0",8,100,72.2,177.5,177.5,175,"N",1,"WLA"
"181",181,"WLA","2017","46089",1,"0",1,"4/26/2017","4/29/2017","","46089 1 0",22,98,83.6,200,197.5,197.5,"N",1,"WLA"
"182",182,"WLA","2017","46090",1,"0",1,"4/15/2017","4/29/2017","","46090 1 0",20,100,44.2,200,85,77.5,"N",1,"WLA"
"183",183,"WLA","2017","46097",1,"1",0,"4/27/2017","5/24/2017","","46097 1 1",25,98,87.4,200,200,200,"N",1,"WLA"
"184",184,"WEBB","2017","46168",1,"1",1,"4/13/2017","5/11/2017","","46168 1 1",7,100,82,100,67.5,80,"N",1,"WEBB"
"185",185,"WLA","2018","46169",1,"0",1,"4/17/2018","4/26/2018","","46169 1 0",1,NA,4.6,157.5,110,112.5,"N",1,"WLA"
"186",186,"WLA","2018","46169",2,"0",1,"5/22/2018","5/22/2018","","46169 2 0",15,NA,76.2,200,162.5,150,"N",1,"WLA"
"187",187,"WLA","2018","46169",3,"0",1,"6/9/2018","6/19/2018","","46169 3 0",9,100,94.6,200,142.5,165,"N",1,"WLA"
"188",188,"WLA","2018","46185",1,"0",1,"5/5/2018","5/18/2018","","46185 1 0",12,NA,45.8,200,90,132.5,"N",1,"WLA"
"189",189,"WEBB","2017","46186",1,"0",1,"4/28/2017","5/4/2017","","46186 1 0",27,100,87,73,40,153,"N",1,"WEBB"
"190",190,"WEBB","2017","46187",1,"1",1,"4/14/2017","5/11/2017","","46187 1 1",4,99,66,48,22.5,190,"N",1,"WEBB"
"191",191,"WLA","2018","46193",2,"1",1,"5/31/2018","6/26/2018","","46193 2 1",11,NA,63.2,200,165,145,"N",1,"WLA"
"192",192,"WLA","2018","46193",1,"0",1,"5/13/2018","5/14/2018","","46193 1 0",3,NA,70.8,187.5,82.5,92.5,"N",1,"WLA"
"193",193,"WLA","2018","46196",1,"1",1,"5/5/2018","6/1/2018","","46196 1 1",12,NA,73.8,200,172.5,165,"N",1,"WLA"
"194",194,"WEBB","2017","46206",1,"0",1,"4/20/2017","5/4/2017","","46206 1 0",11,100,73,71,40,163,"N",1,"WEBB"
"195",195,"CC","2017","46213",1,"1",1,"3/31/2017","4/27/2017","","46213 1 1",0,100,53.6,150,105,107.5,"N",1,"CC"
"196",196,"CC","2017","46214",1,"0",1,"4/17/2017","4/20/2017","","46214 1 0",13,100,64.2,150,40,25,"Y",1,"CC"
"197",197,"CC","2017","46217",1,"0",1,"4/9/2017","4/18/2017","","46217 1 0",9,100,95.6,147.5,105,52.5,"Y",1,"CC"
"198",198,"CC","2017","46217",2,"0",1,"5/10/2017","5/24/2017","","46217 2 0",6,92,81.6,150,75,55,"Y",1,"CC"
